Time_Period,Time_Label,CEV_1_SOE_kWh,CEV_1_Max_SOE_kWh,CEV_1_Min_SOE_kWh,CEV_2_SOE_kWh,CEV_2_Max_SOE_kWh,CEV_2_Min_SOE_kWh
58,14:15:00,12.100000000000001,19.8,3.96,15.0,25.0,5.0
59,14:30:00,11.350000000000001,19.8,3.96,14.0,25.0,5.0
60,14:45:00,10.600000000000001,19.8,3.96,13.0,25.0,5.0
61,15:00:00,9.850000000000001,19.8,3.96,12.0,25.0,5.0
62,15:15:00,9.100000000000001,19.8,3.96,11.0,25.0,5.0
63,15:30:00,8.350000000000001,19.8,3.96,10.0,25.0,5.0
64,15:45:00,7.600000000000001,19.8,3.96,9.0,25.0,5.0
65,16:00:00,6.850000000000001,19.8,3.96,8.0,25.0,5.0
66,16:15:00,6.100000000000001,19.8,3.96,7.0,25.0,5.0
67,16:30:00,5.350000000000001,19.8,3.96,6.0,25.0,5.0
68,16:45:00,4.600000000000001,19.8,3.96,5.0,25.0,5.0
69,17:00:00,4.600000000000001,19.8,3.96,7.0,25.0,5.0
70,17:15:00,4.600000000000001,19.8,3.96,9.0,25.0,5.0
71,17:30:00,4.600000000000001,19.8,3.96,11.0,25.0,5.0
72,17:45:00,6.600000000000005,19.8,3.96,13.0,25.0,5.0
73,18:00:00,8.800000000000004,19.8,3.96,15.0,25.0,5.0
74,18:15:00,11.000000000000004,19.8,3.96,17.0,25.0,5.0
75,18:30:00,13.200000000000003,19.8,3.96,19.0,25.0,5.0
76,18:45:00,15.400000000000002,19.8,3.96,21.0,25.0,5.0
77,19:00:00,17.6,19.8,3.96,23.0,25.0,5.0
78,19:15:00,19.8,19.8,3.96,25.0,25.0,5.0
79,19:30:00,19.8,19.8,3.96,25.0,25.0,5.0
80,19:45:00,19.8,19.8,3.96,25.0,25.0,5.0
81,20:00:00,19.8,19.8,3.96,25.0,25.0,5.0
82,20:15:00,19.8,19.8,3.96,25.0,25.0,5.0
83,20:30:00,19.8,19.8,3.96,25.0,25.0,5.0
84,20:45:00,19.8,19.8,3.96,25.0,25.0,5.0
85,21:00:00,19.8,19.8,3.96,25.0,25.0,5.0
86,21:15:00,19.8,19.8,3.96,25.0,25.0,5.0
87,21:30:00,19.8,19.8,3.96,25.0,25.0,5.0
88,21:45:00,19.8,19.8,3.96,25.0,25.0,5.0
89,22:00:00,19.8,19.8,3.96,25.0,25.0,5.0
90,22:15:00,19.8,19.8,3.96,25.0,25.0,5.0
91,22:30:00,19.8,19.8,3.96,25.0,25.0,5.0
92,22:45:00,19.8,19.8,3.96,25.0,25.0,5.0
93,23:00:00,19.8,19.8,3.96,25.0,25.0,5.0
94,23:15:00,19.8,19.8,3.96,25.0,25.0,5.0
95,23:30:00,19.8,19.8,3.96,25.0,25.0,5.0
96,23:45:00,19.8,19.8,3.96,25.0,25.0,5.0
