Time_Period,Time_Label,Grid_Energy_kWh,Energy_Cost_USD,CO2_Emissions_kg,Cumulative_Energy_Cost_USD,Cumulative_CO2_Emissions_kg,Missed_Work_kWh
1,00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2,00:15:00,0.0,0.0,0.0,0.0,0.0,0.0
3,00:30:00,0.0,0.0,0.0,0.0,0.0,0.0
4,00:45:00,0.0,0.0,0.0,0.0,0.0,0.0
5,01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
6,01:15:00,0.0,0.0,0.0,0.0,0.0,0.0
7,01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
8,01:45:00,0.0,0.0,0.0,0.0,0.0,0.0
9,02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
10,02:15:00,0.0,0.0,0.0,0.0,0.0,0.0
11,02:30:00,0.0,0.0,0.0,0.0,0.0,0.0
12,02:45:00,0.0,0.0,0.0,0.0,0.0,0.0
13,03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
14,03:15:00,0.0,0.0,0.0,0.0,0.0,0.0
15,03:30:00,0.0,0.0,0.0,0.0,0.0,0.0
16,03:45:00,0.0,0.0,0.0,0.0,0.0,0.0
17,04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
18,04:15:00,0.0,0.0,0.0,0.0,0.0,0.0
19,04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
20,04:45:00,0.0,0.0,0.0,0.0,0.0,0.0
21,05:00:00,0.0,0.0,0.0,0.0,0.0,0.0
22,05:15:00,0.0,0.0,0.0,0.0,0.0,0.0
23,05:30:00,0.0,0.0,0.0,0.0,0.0,0.0
24,05:45:00,0.0,0.0,0.0,0.0,0.0,0.0
25,06:00:00,0.0,0.0,0.0,0.0,0.0,0.0
26,06:15:00,0.0,0.0,0.0,0.0,0.0,0.0
27,06:30:00,0.0,0.0,0.0,0.0,0.0,0.0
28,06:45:00,0.0,0.0,0.0,0.0,0.0,0.0
29,07:00:00,0.0,0.0,0.0,0.0,0.0,0.0
30,07:15:00,0.0,0.0,0.0,0.0,0.0,0.0
31,07:30:00,0.0,0.0,0.0,0.0,0.0,0.0
32,07:45:00,0.0,0.0,0.0,0.0,0.0,0.0
33,08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
34,08:15:00,0.0,0.0,0.0,0.0,0.0,0.0
35,08:30:00,0.0,0.0,0.0,0.0,0.0,0.0
36,08:45:00,0.0,0.0,0.0,0.0,0.0,0.0
37,09:00:00,0.0,0.0,0.0,0.0,0.0,0.0
38,09:15:00,0.0,0.0,0.0,0.0,0.0,0.0
39,09:30:00,0.0,0.0,0.0,0.0,0.0,0.0
40,09:45:00,0.0,0.0,0.0,0.0,0.0,0.0
41,10:00:00,0.0,0.0,0.0,0.0,0.0,0.0
42,10:15:00,0.0,0.0,0.0,0.0,0.0,0.0
43,10:30:00,0.0,0.0,0.0,0.0,0.0,0.0
44,10:45:00,0.0,0.0,0.0,0.0,0.0,0.0
45,11:00:00,0.0,0.0,0.0,0.0,0.0,0.0
46,11:15:00,0.0,0.0,0.0,0.0,0.0,0.0
47,11:30:00,0.0,0.0,0.0,0.0,0.0,0.0
48,11:45:00,0.0,0.0,0.0,0.0,0.0,0.0
49,12:00:00,0.0,0.0,0.0,0.0,0.0,0.0
50,12:15:00,0.0,0.0,0.0,0.0,0.0,0.0
51,12:30:00,2.172668512816422,0.26072022153797064,0.13036011076898532,0.26072022153797064,0.13036011076898532,0.0
52,12:45:00,1.1652816274046458,0.1398337952885575,0.06991689764427875,0.40055401682652814,0.20027700841326407,0.0
53,13:00:00,2.172668512816422,0.26072022153797064,0.13036011076898532,0.6612742383644987,0.33063711918224936,0.0
54,13:15:00,2.172668512816422,0.26072022153797064,0.13036011076898532,0.9219944599024694,0.4609972299512347,0.0
55,13:30:00,2.1726685128164065,0.26072022153796875,0.13036011076898438,1.1827146814404381,0.5913573407202191,0.0
56,13:45:00,0.0,0.0,0.0,1.1827146814404381,0.5913573407202191,0.0
