Time_Period,Time_Label,Charging_Power_kW,Discharging_Power_kW,Net_Power_kW
1,00:00:00,0.0,0.0,0.0
2,00:15:00,0.0,0.0,0.0
3,00:30:00,0.0,0.0,0.0
4,00:45:00,0.0,0.0,0.0
5,01:00:00,0.0,0.0,0.0
6,01:15:00,0.0,0.0,0.0
7,01:30:00,0.0,0.0,0.0
8,01:45:00,0.0,0.0,0.0
9,02:00:00,0.0,0.0,0.0
10,02:15:00,0.0,0.0,0.0
11,02:30:00,0.0,0.0,0.0
12,02:45:00,0.0,0.0,0.0
13,03:00:00,0.0,0.0,0.0
14,03:15:00,0.0,0.0,0.0
15,03:30:00,0.0,0.0,0.0
16,03:45:00,0.0,0.0,0.0
17,04:00:00,0.0,0.0,0.0
18,04:15:00,0.0,0.0,0.0
19,04:30:00,0.0,0.0,0.0
20,04:45:00,0.0,0.0,0.0
21,05:00:00,0.0,0.0,0.0
22,05:15:00,0.0,0.0,0.0
23,05:30:00,0.0,0.0,0.0
24,05:45:00,0.0,0.0,0.0
25,06:00:00,0.0,0.0,0.0
26,06:15:00,0.0,0.0,0.0
27,06:30:00,0.0,0.0,0.0
28,06:45:00,0.0,0.0,0.0
29,07:00:00,0.0,0.0,0.0
30,07:15:00,0.0,0.0,0.0
31,07:30:00,0.0,0.0,0.0
32,07:45:00,0.0,0.0,0.0
33,08:00:00,0.0,0.0,0.0
34,08:15:00,0.0,0.0,0.0
35,08:30:00,0.0,0.0,0.0
36,08:45:00,0.0,0.0,0.0
37,09:00:00,0.0,0.0,0.0
38,09:15:00,0.0,0.0,0.0
39,09:30:00,0.0,0.0,0.0
40,09:45:00,0.0,0.0,0.0
41,10:00:00,0.0,0.0,0.0
42,10:15:00,0.0,0.0,0.0
43,10:30:00,0.0,0.0,0.0
44,10:45:00,0.0,0.0,0.0
45,11:00:00,0.0,8.879999999999951,-8.879999999999951
46,11:15:00,0.0,8.88,-8.88
47,11:30:00,0.0,8.88,-8.88
48,11:45:00,0.0,18.0,-18.0
49,12:00:00,3.9426245135534472,0.0,3.9426245135534472
50,12:15:00,0.0,0.0,0.0
51,12:30:00,0.0,0.0,0.0
52,12:45:00,0.0,0.0,0.0
53,13:00:00,18.40393867686478,0.0,18.40393867686478
54,13:15:00,18.40393867686478,0.0,18.40393867686478
55,13:30:00,8.712102010833023,0.0,8.712102010833023
56,13:45:00,0.0,0.0,0.0
57,14:00:00,0.0,0.0,0.0
58,14:15:00,0.0,0.0,0.0
59,14:30:00,0.0,0.0,0.0
60,14:45:00,0.0,0.0,0.0
61,15:00:00,0.0,0.0,0.0
62,15:15:00,0.0,0.0,0.0
63,15:30:00,0.0,0.0,0.0
64,15:45:00,0.0,0.0,0.0
65,16:00:00,0.0,0.0,0.0
66,16:15:00,0.0,0.0,0.0
67,16:30:00,0.0,0.0,0.0
68,16:45:00,0.0,0.0,0.0
69,17:00:00,0.0,17.76,-17.76
70,17:15:00,18.403938676864783,0.0,18.403938676864783
71,17:30:00,1.2747316832454862,7.48001660610953e-13,1.2747316832447382
72,17:45:00,3.518947445543844e-13,32.99999999999964,-32.99999999999928
73,18:00:00,1.4546289168378636e-13,32.99999999999999,-32.99999999999985
74,18:15:00,2.7586397088643884e-14,32.99999999999999,-32.999999999999964
75,18:30:00,18.403938676864783,-5.062616992290714e-14,18.403938676864833
76,18:45:00,18.40393867686478,0.0,18.40393867686478
77,19:00:00,4.0560592634803277e-13,17.759999999999945,-17.75999999999954
78,19:15:00,18.40393867686478,5.400124791776762e-14,18.403938676864726
79,19:30:00,0.0,23.680161943311653,-23.680161943311653
80,19:45:00,0.0,17.76000000000001,-17.76000000000001
81,20:00:00,0.0,17.760000000000115,-17.760000000000115
82,20:15:00,18.40393867686478,-5.4001247917767624e-14,18.403938676864833
83,20:30:00,0.0,17.76000000000001,-17.76000000000001
84,20:45:00,-6.547779008026794e-12,7.204048583002796,-7.204048583009343
85,21:00:00,18.40393867686478,0.0,18.40393867686478
86,21:15:00,18.40393867686478,0.0,18.40393867686478
87,21:30:00,18.40393867686478,7.020162229309791e-13,18.403938676864076
88,21:45:00,18.40393867686478,-5.400124791776762e-14,18.403938676864833
89,22:00:00,18.40393867686478,5.400124791776762e-14,18.403938676864726
90,22:15:00,4.3538701932682786e-12,14.999999999999172,-14.999999999994818
91,22:30:00,18.40393867686478,-5.400124791776762e-14,18.403938676864833
92,22:45:00,18.40393867686478,5.400124791776762e-14,18.403938676864726
93,23:00:00,18.403938676864666,6.075140390748857e-14,18.403938676864605
94,23:15:00,18.403938676865316,0.0,18.403938676865316
95,23:30:00,0.0,0.0,0.0
96,23:45:00,0.0,0.0,0.0
