Time_Period,Time_Label,CEV_1_SOE_kWh,CEV_1_Max_SOE_kWh,CEV_1_Min_SOE_kWh,CEV_2_SOE_kWh,CEV_2_Max_SOE_kWh,CEV_2_Min_SOE_kWh,CEV_3_SOE_kWh,CEV_3_Max_SOE_kWh,CEV_3_Min_SOE_kWh,CEV_4_SOE_kWh,CEV_4_Max_SOE_kWh,CEV_4_Min_SOE_kWh
31,07:30:00,19.8,19.8,3.96,25.0,25.0,5.0,40.0,40.0,8.0,45.0,45.0,9.0
32,07:45:00,19.8,19.8,3.96,25.0,25.0,5.0,40.0,40.0,8.0,45.0,45.0,9.0
33,08:00:00,19.8,19.8,3.96,25.0,25.0,5.0,40.0,40.0,8.0,45.0,45.0,9.0
34,08:15:00,19.05,19.8,3.96,25.0,25.0,5.0,37.5,40.0,8.0,45.0,45.0,9.0
35,08:30:00,18.3,19.8,3.96,25.0,25.0,5.0,35.0,40.0,8.0,45.0,45.0,9.0
36,08:45:00,17.55,19.8,3.96,25.0,25.0,5.0,32.5,40.0,8.0,45.0,45.0,9.0
37,09:00:00,16.8,19.8,3.96,25.0,25.0,5.0,30.0,40.0,8.0,45.0,45.0,9.0
38,09:15:00,16.05,19.8,3.96,25.0,25.0,5.0,27.5,40.0,8.0,45.0,45.0,9.0
39,09:30:00,15.3,19.8,3.96,25.0,25.0,5.0,25.0,40.0,8.0,45.0,45.0,9.0
40,09:45:00,14.55,19.8,3.96,25.0,25.0,5.0,22.5,40.0,8.0,45.0,45.0,9.0
41,10:00:00,13.8,19.8,3.96,25.0,25.0,5.0,20.0,40.0,8.0,45.0,45.0,9.0
42,10:15:00,13.05,19.8,3.96,25.0,25.0,5.0,17.5,40.0,8.0,45.0,45.0,9.0
43,10:30:00,12.3,19.8,3.96,25.0,25.0,5.0,15.0,40.0,8.0,45.0,45.0,9.0
44,10:45:00,11.55,19.8,3.96,25.0,25.0,5.0,12.5,40.0,8.0,45.0,45.0,9.0
45,11:00:00,10.8,19.8,3.96,25.0,25.0,5.0,10.0,40.0,8.0,45.0,45.0,9.0
46,11:15:00,13.0,19.8,3.96,25.0,25.0,5.0,14.5,40.0,8.0,45.0,45.0,9.0
47,11:30:00,15.2,19.8,3.96,25.0,25.0,5.0,19.0,40.0,8.0,45.0,45.0,9.0
48,11:45:00,17.4,19.8,3.96,25.0,25.0,5.0,23.5,40.0,8.0,45.0,45.0,9.0
49,12:00:00,19.599999999999998,19.8,3.96,25.0,25.0,5.0,28.0,40.0,8.0,45.0,45.0,9.0
50,12:15:00,18.849999999999998,19.8,3.96,24.0,25.0,5.0,32.5,40.0,8.0,43.25,45.0,9.0
51,12:30:00,18.099999999999998,19.8,3.96,23.0,25.0,5.0,31.25,40.0,8.0,41.5,45.0,9.0
52,12:45:00,17.349999999999998,19.8,3.96,22.0,25.0,5.0,30.0,40.0,8.0,39.75,45.0,9.0
53,13:00:00,16.599999999999998,19.8,3.96,21.0,25.0,5.0,28.75,40.0,8.0,38.0,45.0,9.0
54,13:15:00,15.849999999999998,19.8,3.96,20.0,25.0,5.0,27.5,40.0,8.0,36.25,45.0,9.0
55,13:30:00,15.099999999999998,19.8,3.96,19.0,25.0,5.0,26.25,40.0,8.0,34.5,45.0,9.0
56,13:45:00,14.349999999999998,19.8,3.96,18.0,25.0,5.0,25.0,40.0,8.0,32.75,45.0,9.0
57,14:00:00,13.599999999999998,19.8,3.96,17.0,25.0,5.0,23.75,40.0,8.0,31.0,45.0,9.0
58,14:15:00,12.849999999999998,19.8,3.96,16.0,25.0,5.0,22.5,40.0,8.0,29.25,45.0,9.0
59,14:30:00,12.099999999999998,19.8,3.96,15.0,25.0,5.0,21.25,40.0,8.0,27.5,45.0,9.0
60,14:45:00,11.349999999999998,19.8,3.96,14.0,25.0,5.0,20.0,40.0,8.0,25.75,45.0,9.0
61,15:00:00,10.599999999999998,19.8,3.96,13.0,25.0,5.0,18.75,40.0,8.0,24.0,45.0,9.0
62,15:15:00,9.849999999999998,19.8,3.96,12.0,25.0,5.0,17.5,40.0,8.0,22.25,45.0,9.0
63,15:30:00,9.099999999999998,19.8,3.96,11.0,25.0,5.0,16.25,40.0,8.0,20.5,45.0,9.0
64,15:45:00,8.349999999999998,19.8,3.96,10.0,25.0,5.0,15.0,40.0,8.0,18.75,45.0,9.0
65,16:00:00,7.599999999999998,19.8,3.96,9.0,25.0,5.0,13.75,40.0,8.0,17.0,45.0,9.0
66,16:15:00,6.849999999999998,19.8,3.96,8.0,25.0,5.0,12.49999999999997,40.0,8.0,15.25,45.0,9.0
67,16:30:00,6.099999999999998,19.8,3.96,7.0,25.0,5.0,11.24999999999997,40.0,8.0,13.5,45.0,9.0
68,16:45:00,5.349999999999998,19.8,3.96,6.0,25.0,5.0,9.99999999999997,40.0,8.0,11.75,45.0,9.0
69,17:00:00,4.599999999999998,19.8,3.96,5.0,25.0,5.0,8.74999999999997,40.0,8.0,10.0,45.0,9.0
70,17:15:00,6.799999999999998,19.8,3.96,7.0,25.0,5.0,13.249999999999972,40.0,8.0,13.75,45.0,9.0
71,17:30:00,6.799999999999998,19.8,3.96,7.0,25.0,5.0,17.74999999999997,40.0,8.0,17.5,45.0,9.0
72,17:45:00,9.0,19.8,3.96,9.0,25.0,5.0,17.74999999999997,40.0,8.0,17.5,45.0,9.0
73,18:00:00,11.2,19.8,3.96,11.0,25.0,5.0,17.74999999999997,40.0,8.0,17.5,45.0,9.0
74,18:15:00,11.2,19.8,3.96,13.0,25.0,5.0,17.74999999999997,40.0,8.0,17.5,45.0,9.0
75,18:30:00,11.2,19.8,3.96,13.0,25.0,5.0,17.74999999999997,40.0,8.0,17.5,45.0,9.0
76,18:45:00,13.399999999999999,19.8,3.96,15.0,25.0,5.0,17.74999999999997,40.0,8.0,17.5,45.0,9.0
77,19:00:00,15.599999999999998,19.8,3.96,17.0,25.0,5.0,17.74999999999997,40.0,8.0,17.5,45.0,9.0
78,19:15:00,17.8,19.8,3.96,19.0,25.0,5.0,17.74999999999997,40.0,8.0,17.5,45.0,9.0
79,19:30:00,19.25980769230723,19.8,3.96,21.0,25.0,5.0,17.74999999999997,40.0,8.0,17.5,45.0,9.0
80,19:45:00,19.25980769230723,19.8,3.96,21.0,25.0,5.0,22.24999999999997,40.0,8.0,21.25,45.0,9.0
81,20:00:00,19.25980769230723,19.8,3.96,21.0,25.0,5.0,26.74999999999997,40.0,8.0,25.0,45.0,9.0
82,20:15:00,19.25980769230723,19.8,3.96,21.0,25.0,5.0,31.24999999999997,40.0,8.0,28.75,45.0,9.0
83,20:30:00,19.25980769230723,19.8,3.96,21.0,25.0,5.0,35.74999999999997,40.0,8.0,32.5,45.0,9.0
84,20:45:00,19.25980769230723,19.8,3.96,21.0,25.0,5.0,40.0,40.0,8.0,36.25,45.0,9.0
85,21:00:00,19.25980769230723,19.8,3.96,21.0,25.0,5.0,40.0,40.0,8.0,40.0,45.0,9.0
86,21:15:00,19.25980769230723,19.8,3.96,21.0,25.0,5.0,40.0,40.0,8.0,43.75000000000001,45.0,9.0
87,21:30:00,19.25980769230723,19.8,3.96,21.0,25.0,5.0,40.0,40.0,8.0,45.00000000000002,45.0,9.0
88,21:45:00,19.8,19.8,3.96,23.0,25.0,5.0,40.0,40.0,8.0,45.00000000000002,45.0,9.0
89,22:00:00,19.8,19.8,3.96,25.0,25.0,5.0,40.0,40.0,8.0,45.00000000000002,45.0,9.0
90,22:15:00,19.8,19.8,3.96,25.0,25.0,5.0,40.0,40.0,8.0,45.00000000000002,45.0,9.0
91,22:30:00,19.8,19.8,3.96,25.0,25.0,5.0,40.0,40.0,8.0,45.00000000000002,45.0,9.0
92,22:45:00,19.8,19.8,3.96,25.0,25.0,5.0,40.0,40.0,8.0,45.00000000000002,45.0,9.0
93,23:00:00,19.8,19.8,3.96,25.0,25.0,5.0,40.0,40.0,8.0,45.00000000000002,45.0,9.0
94,23:15:00,19.8,19.8,3.96,25.0,25.0,5.0,40.0,40.0,8.0,45.00000000000002,45.0,9.0
95,23:30:00,19.8,19.8,3.96,25.0,25.0,5.0,40.0,40.0,8.0,45.0,45.0,9.0
96,23:45:00,19.8,19.8,3.96,25.0,25.0,5.0,40.0,40.0,8.0,45.0,45.0,9.0
