Unnamed: 0,Unnamed: 1
Time,CO2 Intensity (kg/MWh)
00:00:00,200
00:30:00,203
01:00:00,207
01:30:00,210
02:00:00,213
02:30:00,216
03:00:00,219
03:30:00,222
04:00:00,225
04:30:00,228
05:00:00,230
05:30:00,233
06:00:00,235
06:30:00,238
07:00:00,240
07:30:00,242
08:00:00,243
08:30:00,245
09:00:00,246
09:30:00,247
10:00:00,248
10:30:00,249
11:00:00,250
11:30:00,250
12:00:00,250
12:30:00,250
13:00:00,250
13:30:00,249
14:00:00,248
14:30:00,247
15:00:00,246
15:30:00,245
16:00:00,243
16:30:00,242
17:00:00,240
17:30:00,238
18:00:00,235
18:30:00,233
19:00:00,230
19:30:00,228
20:00:00,225
20:30:00,222
21:00:00,219
21:30:00,216
22:00:00,213
22:30:00,210
23:00:00,207
23:30:00,203
