Unnamed: 0,Unnamed: 1
Time,Demand (MW)
00:00:00,20000
00:30:00,20327
01:00:00,20653
01:30:00,20975
02:00:00,21294
02:30:00,21607
03:00:00,21913
03:30:00,22211
04:00:00,22500
04:30:00,22778
05:00:00,23044
05:30:00,23297
06:00:00,23536
06:30:00,23759
07:00:00,23967
07:30:00,24157
08:00:00,24330
08:30:00,24484
09:00:00,24619
09:30:00,24735
10:00:00,24830
10:30:00,24904
11:00:00,24957
11:30:00,24989
12:00:00,25000
12:30:00,24989
13:00:00,24957
13:30:00,24904
14:00:00,24830
14:30:00,24735
15:00:00,24619
15:30:00,24484
16:00:00,24330
16:30:00,24157
17:00:00,23967
17:30:00,23759
18:00:00,23536
18:30:00,23297
19:00:00,23044
19:30:00,22778
20:00:00,22500
20:30:00,22211
21:00:00,21913
21:30:00,21607
22:00:00,21294
22:30:00,20975
23:00:00,20653
23:30:00,20327
