Unnamed: 0,Unnamed: 1
Time,CO2 Intensity (kg/MWh)
00:00:00,200
00:15:00,203
00:30:00,207
00:45:00,210
01:00:00,213
01:15:00,216
01:30:00,219
01:45:00,222
02:00:00,225
02:15:00,228
02:30:00,230
02:45:00,233
03:00:00,235
03:15:00,238
03:30:00,240
03:45:00,242
04:00:00,243
04:15:00,245
04:30:00,246
04:45:00,247
05:00:00,248
05:15:00,249
05:30:00,250
05:45:00,250
06:00:00,250
06:15:00,250
06:30:00,250
06:45:00,249
07:00:00,248
07:15:00,247
07:30:00,246
07:45:00,245
08:00:00,243
08:15:00,242
08:30:00,240
08:45:00,238
09:00:00,235
09:15:00,233
09:30:00,230
09:45:00,228
10:00:00,225
10:15:00,222
10:30:00,219
10:45:00,216
11:00:00,213
11:15:00,210
11:30:00,207
11:45:00,203
12:00:00,200
12:15:00,197
12:30:00,193
12:45:00,190
13:00:00,187
13:15:00,184
13:30:00,181
13:45:00,178
14:00:00,175
14:15:00,172
14:30:00,170
14:45:00,167
15:00:00,165
15:15:00,162
15:30:00,160
15:45:00,158
16:00:00,157
16:15:00,155
16:30:00,154
16:45:00,153
17:00:00,152
17:15:00,151
17:30:00,150
17:45:00,150
18:00:00,150
18:15:00,150
18:30:00,150
18:45:00,151
19:00:00,152
19:15:00,153
19:30:00,154
19:45:00,155
20:00:00,157
20:15:00,158
20:30:00,160
20:45:00,162
21:00:00,165
21:15:00,167
21:30:00,170
21:45:00,172
22:00:00,175
22:15:00,178
22:30:00,181
22:45:00,184
23:00:00,187
23:15:00,190
23:30:00,193
23:45:00,197
